CP001966.1	 GCA_000092225.1
CP001968.1	 GCA_000025725.1
CP001969.1	 GCA_000025745.1
CP001977.1	 GCA_000025765.1
CP001978.1	 GCA_000166295.1
CP001982.1	 GCA_000025805.1
CP001999.1	 GCA_000092245.1
CP002006.1	 GCA_000025925.1
CP002008.1	 GCA_000092285.1
CP002018.1	 GCA_000223375.1
CP002025.1	 GCA_000143725.1
CP002032.1	 GCA_000092965.1
CP002038.1	 GCA_000147055.1
CP002039.1	 GCA_000143225.1
CP002099.1	 GCA_000385905.1
CP002104.1	 GCA_000159155.2
CP002116.1	 GCA_000143985.1
CP002124.1	 GCA_000165815.1
CP002131.1	 GCA_000144645.1
CP002154.1	 GCA_000146305.1
CP002157.1	 GCA_000153165.2
CP002164.1	 GCA_000145215.1
CP002165.1	 GCA_000148405.1
CP002167.1	 GCA_000148605.1
CP002183.1	 GCA_000146565.1
CP002185.1	 GCA_000184185.1
CP002206.1	 GCA_000148935.1
CP002207.1	 GCA_000165925.1
CP002209.1	 GCA_000148645.1
CP002210.1	 GCA_000148425.1
CP002211.1	 GCA_000233875.1
CP002212.1	 GCA_000233895.1
CP002213.2	 GCA_000164985.2
CP002216.1	 GCA_000166335.1
CP002219.1	 GCA_000166355.1
CP002222.1	 GCA_000148815.2
CP002224.1	 GCA_000164885.1
CP002246.1	 GCA_000192105.1
CP002272.1	 GCA_000164865.1
CP002277.1	 GCA_000165525.1
CP002279.1	 GCA_000176035.2
CP002287.1	 GCA_000165835.1
CP002290.1	 GCA_000183645.1
CP002291.1	 GCA_000257275.1
CP002295.1	 GCA_000238975.1
CP002297.1	 GCA_000166115.1
CP002305.1	 GCA_000166395.1
CP002326.1	 GCA_000166695.1
CP002330.1	 GCA_000166775.1
CP002338.1	 GCA_000182855.2
CP002346.1	 GCA_000183155.1
CP002349.1	 GCA_000183425.1
CP002351.1	 GCA_000217815.1
CP002352.1	 GCA_000186225.1
CP002360.1	 GCA_000213255.1
CP002364.1	 GCA_000186885.1
CP002379.1	 GCA_000189535.1
CP002382.1	 GCA_000226315.1
CP002383.1	 GCA_000178875.2
CP002409.1	 GCA_000213155.1
CP002417.1	 GCA_000184745.1
CP002418.1	 GCA_000177255.2
CP002431.1	 GCA_000176915.2
CP002433.1	 GCA_000175935.2
CP002446.1	 GCA_000185965.1
CP002455.1	 GCA_000189415.1
CP002457.1	 GCA_000169215.2
CP002466.1	 GCA_000175295.2
CP002472.1	 GCA_000217835.1
CP002487.1	 GCA_000188735.1
CP002496.1	 GCA_000226155.1
CP002505.1	 GCA_000187705.1
CP002516.1	 GCA_000147855.3
CP002526.1	 GCA_000212335.1
CP002530.1	 GCA_000190575.1
CP002541.1	 GCA_000190435.1
CP002544.1	 GCA_000190535.1
CP002557.1	 GCA_000195535.1
CP002558.1	 GCA_000195555.1
CP002559.1	 GCA_000191545.1
CP002562.1	 GCA_000191565.1
CP002568.1	 GCA_000192745.1
CP002583.1	 GCA_000192865.1
CP002585.1	 GCA_000194805.1
CP002607.1	 GCA_000204115.1
CP002609.1	 GCA_000194115.1
CP002614.1	 GCA_000213635.1
CP002620.1	 GCA_000204295.1
CP002622.1	 GCA_000195105.1
CP002623.1	 GCA_000154785.2
CP002630.1	 GCA_000195335.1
CP002652.1	 GCA_000211375.1
CP002659.1	 GCA_000208385.1
CP002667.1	 GCA_000209675.1
CP002691.1	 GCA_000212735.1
CP002695.1	 GCA_000212975.1
CP002696.1	 GCA_000212415.1
CP002725.1	 GCA_000213955.1
CP002727.1	 GCA_000213805.1
CP002729.1	 GCA_000212715.2
CP002740.1	 GCA_000147775.3
CP002745.1	 GCA_000221045.1
CP002767.1	 GCA_000147735.3
CP002771.1	 GCA_000214215.1
CP002773.1	 GCA_000214235.1
CP002774.1	 GCA_000214195.1
